지점,일시,1시간평균 미세먼지농도(㎍/㎥)
90,41680.33333,29
90,41680.375,33
90,41680.41667,29
90,41680.45833,32
90,41680.5,28
90,41680.54167,25
90,41680.58333,33
90,41680.625,27
90,41680.66667,22
90,41680.70833,26
90,41680.75,19
90,41680.79167,20
90,41680.83333,19
90,41680.875,15
90,41680.91667,12
90,41680.95833,20
90,41681,17
90,41681.04167,7
90,41681.08333,15
90,41681.125,10
90,41681.16667,17
90,41681.20833,15
90,41681.25,11
90,41681.29167,13
90,41681.33333,15
90,41681.375,13
90,41681.41667,13
90,41681.45833,16
90,41681.5,14
90,41681.54167,22
90,41681.58333,15
90,41681.625,19
90,41681.66667,19
90,41681.70833,15
90,41681.75,16
90,41681.79167,16
90,41681.83333,11
90,41681.875,15
90,41681.91667,14
90,41681.95833,13
90,41682,12
90,41682.04167,28
90,41682.08333,8
90,41682.125,10
90,41682.16667,7
90,41682.20833,17
90,41682.25,4
90,41682.29167,6
90,41682.33333,14
90,41682.375,11
90,41682.41667,15
90,41682.45833,26
90,41682.5,35
90,41682.54167,37
90,41682.58333,31
90,41682.625,31
90,41682.66667,30
90,41682.70833,32
90,41682.75,24
90,41682.79167,19
90,41682.83333,11
90,41682.875,14
90,41682.91667,9
90,41682.95833,13
90,41683,11
90,41683.04167,15
90,41683.08333,9
90,41683.125,11
90,41683.16667,11
90,41683.20833,5
90,41683.25,6
90,41683.29167,15
90,41683.33333,20
90,41683.375,16
90,41683.41667,15
90,41683.45833,22
90,41683.5,14
90,41683.54167,21
90,41683.58333,18
90,41683.625,25
90,41683.66667,21
90,41683.70833,20
90,41683.75,24
90,41683.79167,23
90,41683.83333,21
90,41683.875,18
90,41683.91667,17
90,41683.95833,23
90,41684,17
90,41684.04167,25
90,41684.08333,21
90,41684.125,19
90,41684.16667,20
90,41684.20833,22
90,41684.25,19
90,41684.29167,24
90,41684.33333,22
90,41684.375,23
90,41684.41667,22
90,41684.45833,16
90,41684.5,15
90,41684.54167,12
90,41684.58333,15
90,41684.625,28
90,41684.66667,14
90,41684.70833,135
90,41684.75,121
90,41684.79167,14
90,41684.83333,23
90,41684.875,21
90,41684.91667,22
90,41684.95833,18
90,41685,14
90,41685.04167,6
90,41685.08333,15
90,41685.125,10
90,41685.16667,17
90,41685.20833,9
90,41685.25,11
90,41685.29167,14
90,41685.33333,16
90,41685.375,8
90,41685.41667,22
90,41685.45833,32
90,41685.5,29
90,41685.54167,20
90,41685.58333,22
90,41685.625,19
90,41685.66667,20
90,41685.70833,19
90,41685.75,14
90,41685.79167,27
90,41685.83333,26
90,41685.875,20
90,41685.91667,23
90,41685.95833,18
90,41686,21
90,41686.04167,18
90,41686.08333,35
90,41686.125,22
90,41686.16667,28
90,41686.20833,33
90,41686.25,26
90,41686.29167,37
90,41686.33333,45
90,41686.375,50
90,41686.41667,76
90,41686.45833,67
90,41686.5,113
90,41686.54167,77
90,41686.58333,70
90,41686.625,60
90,41686.66667,63
90,41686.70833,64
90,41686.75,56
90,41686.79167,56
90,41686.83333,46
90,41686.875,75
90,41686.91667,94
90,41686.95833,103
90,41687,80
90,41687.04167,70
90,41687.08333,84
90,41687.125,97
90,41687.16667,111
90,41687.20833,94
90,41687.25,83
90,41687.29167,83
90,41687.33333,78
90,41687.375,62
90,41687.41667,58
90,41687.45833,53
90,41687.5,48
90,41687.54167,53
90,41687.58333,42
90,41687.625,41
90,41687.66667,39
90,41687.70833,38
90,41687.75,36
90,41687.79167,28
90,41687.83333,27
90,41687.875,29
90,41687.91667,36
90,41687.95833,32
90,41688,37
90,41688.04167,34
90,41688.08333,34
90,41688.125,29
90,41688.16667,25
90,41688.20833,28
90,41688.25,24
90,41688.29167,21
90,41688.33333,28
90,41688.375,27
90,41688.41667,26
90,41688.45833,24
90,41688.5,24
90,41688.54167,24
90,41688.58333,28
90,41688.625,28
90,41688.66667,24
90,41688.70833,26
90,41688.75,26
90,41688.79167,29
90,41688.83333,34
90,41688.875,25
90,41688.91667,22
90,41688.95833,25
90,41689,16
90,41689.04167,21
90,41689.08333,17
90,41689.125,17
90,41689.16667,18
90,41689.20833,19
90,41689.25,17
90,41689.29167,21
90,41689.33333,24
90,41689.375,22
90,41689.41667,21
90,41689.45833,23
90,41689.5,20
90,41689.54167,31
90,41689.58333,22
90,41689.625,20
90,41689.66667,24
